Chinese	Pinyin	English	TimesUsed
的	de	possessive particle	37043
我	wǒ	I	14902
在	zài	upon	10576
你	nǐ	you	10146
主	zhǔ	Lord	9253
说	shuō	said	8532
他	tā	him	8241
你们	nǐ men	you	7089
他们	tā men	them	6818
人	rén	human	6443
必	bì	must	5535
是	shì	is	5178
天主	tiān zhǔ	Lord	4639
和	hé	and	4464
为	wéi	as	4253
有	yǒu	have	4151
就	jiù	then	4112
所	suǒ	that which	3915
都	dōu	all	3786
将	jiāng	took	3708
了	le	particle indicating completed action	3636
这	zhè	this	3612
使	shǐ	make	3532
我们	wǒ men	we	3365
与	yǔ	with	3075
从	cóng	from	2721
也	yě	also	2603
又	yòu	also	2599
不	bù	not	2550
王	wáng	king	2385
要	yào	shall	2286
去	qù	go	2188
因为	yīn wèi	because	2094
到	dào	to	2060
儿子	ér zi	son	1941
来	lái	come	1926
用	yòng	used	1883
对	duì	to	1863
耶稣	yē sū	Jesus	1767
地	dì	ground	1685
上	shàng	upon	1674
若	ruò	if	1601
那	nà	that	1574
当	dāng	should	1565
就是	jiù shì	that was	1517
没有	méi yǒu	had not	1480
如	rú	like	1454
以色列	yǐ sè liè	Israel	1401
面前	miàn qián	before	1374
作	zuò	make	1350
中	zhōng	in	1346
被	bèi	by	1279
向	xiàng	to	1278
行	xíng	perform	1260
自己	zì jǐ	own	1252
因	yīn	because	1197
那里	nà lǐ	there	1181
以色列人	yǐ sè liè rén	Israelites	1180
民	mín	people	1154
得	dé	get	1131
可以	kě yǐ	can	1122
便	biàn	then	1114
事	shì	things	1096
大卫	dà wèi	David	1091
凡	fán	all	1064
时候	shí hou	time	1045
一切	yī qiè	all	1023
吩咐	fēn fù	command	1022
并	bìng	and also	1016
我的	wǒ de	my	980
话	huà	words	968
不可	bù kě	must not	961
呢	ne	question particle	960
应当	yīng dāng	should	955
见	jiàn	see	919
知道	zhī dào	know	916
求	qiú	beg	915
须	xū	must	911
这样	zhè yàng	like this	896
里	lǐ	inside	895
摩西	mó xī	Moses	888
一个	yī gè	a	874
能	néng	can	867
叫	jiào	called	849
给	gěi	give	840
耶路撒冷	Yē lù sā lěng	Jerusalem	840
如此	rú cǐ	thus	822
看见	kàn jiàn	see	811
她	tā	her	801
祭司	jì sī	priest	798
你的	nǐ de	your	797
不要	bù yào	do not want	790
父	fù	father	782
众人	zhòng rén	people	776
么	me	question particle	748
告诉	gào sù	told	737
名	míng	named	736
往	wǎng	toward	713
吃	chī	eat	709
听见	tīng jiàn	heard	701
现在	xiàn zài	now	699
献	xiàn	offer	681
城	chéng	city	678
犹大	yóu dà	Judah	670
却	què	but	666
仆人	pú rén	servants	664
做	zuò	did	643
啊	a	ah	640
不能	bù néng	cannot	626
谁	shéi	who	625
受	shòu	receive	619
生	shēng	produce	595
出来	chū lái	come out	586
基督	jī dū	Christ	581
听	tīng	listen	569
地方	dì fāng	place	557
一	yī	one	551
死	sǐ	die	550
先知	xiān zhī	prophet	548
赐	cì	give	537
伊及	yī jí	Egypt	534
于是	yú shì	then	532
不是	bù shì	is not	529
他的	tā de	his	526
问	wèn	ask	518
罪	zuì	guilt	516
手	shǒu	hand	507
什么	shén me	what	500
那时	nà shí	at that time	499
后裔	hòu yì	descendants	492
妇人	fù rén	woman	490
或	huò	or	489
愿	yuàn	may	488
直到	zhí dào	until	481
扫罗	sǎo luó	Saul	476
雅各	yǎ gè	Jacob	474
心	xīn	heart	473
许多	xǔ duō	many	469
各	gè	each	460
归	guī	belong	455
这是	zhè shì	this is	452
这些	zhè xiē	these	451
立	lì	established	447
曾	céng	once	445
众	zhòng	many	442
到了	dào le	arrived	441
心里	xīn lǐ	in heart	436
地上	dì shàng	on the ground	434
殿	diàn	temple	431
支派	zhī pài	tribes	429
起来	qǐ lái	up	426
门徒	mén tú	disciple	425
攻击	gōng jī	attack	423
弟兄	dì xiōng	brothers	421
还	hái	still	413
住	zhù	live	409
差遣	chāi qiǎn	send	408
回答	huí dá	answered	402
可	kě	may	398
仍	réng	still	396
属	shǔ	belong to	395
必要	bì yào	will certainly	395
已经	yǐ jīng	already	394
妻	qī	wife	394
国	guó	nation	394
亚伦	yà lún	Aaron	392
出	chū	produces	387
照着	zhào zhe	according to	386
像	xiàng	like	385
住在	zhù zài	dwell in	385
日子	rì zi	day	384
再	zài	again	376
比	bǐ	than	375
杀	shā	kill	374
但	dàn	Dan	374
已	yǐ	already	373
拿	ná	take	371
中间	zhōng jiān	among	369
永远	yǒng yuǎn	eternal	366
信	xìn	believed	366
水	shuǐ	water	363
道	dào	streams	362
这里	zhè lǐ	here	362
律法	lǜ fǎ	law	362
百姓	bǎi xìng	people	360
都是	dōu shì	all were	360
离开	lí kāi	leave	359
祭台	jì tái	altar	356
荣耀	róng yào	glory	356
有人	yǒu rén	someone	355
看	kàn	saw	348
子孙	zǐ sūn	descendants	348
前	qián	before	347
以	yǐ	with	346
犹如	yóu rú	like	346
按	àn	according to	344
智慧	zhì huì	wisdom	343
的话	de huà	words	342
因此	yīn cǐ	therefore	341
仇敌	chóu dí	enemies	341
所以	suǒ yǐ	therefore	337
而	ér	and	336
甚	shèn	very	336
诸	zhū	various	332
列祖	liè zǔ	ancestors	331
既	jì	since	330
家	jiā	household	327
约瑟	yuē sè	Joseph	326
从前	cóng qián	before	324
无	wú	without	323
不得	bù dé	cannot	323
一样	yī yàng	same	320
领	lǐng	lead	317
惧怕	jù pà	fear	317
不再	bù zài	no longer	313
法老	fǎ lǎo	Pharaoh	310
进	jìn	into	310
虽	suī	although	308
利未人	lì wèi rén	Levites	307
所罗门	suǒ luó mén	Solomon	306
恶人	è rén	evil people	304
今日	jīn rì	today	303
其中	qí zhōng	among them	303
所有	suǒ yǒu	all	302
子	zǐ	son	300
事奉	shì fèng	served	299
衣服	yī fu	clothes	298
耶和华	yē hé huá	Jehovah	297
居民	jū mín	inhabitants	294
神	shén	God	294
天上	tiān shàng	in the sky	291
命	mìng	command	290
岂	qǐ	how	289
惟	wéi	but	288
声音	shēng yīn	voice	288
晓谕	xiǎo yù	commanded	284
如同	rú tóng	just as	279
旷野	kuàng yě	wilderness	279
只	zhǐ	only	278
起誓	qǐ shì	swear	277
一同	yī tóng	together	277
身上	shēn shàng	on the body	276
亚伯拉罕	yà bó lā hǎn	Abraham	275
大	dà	big	272
聚集	jù jí	gather	272
蒙	méng	receive	270
之	zhī	of	270
巴比伦	bā bǐ lún	Babylon	267
听从	tīng cóng	obey	265
圣灵	shèng líng	Holy Spirit	260
血	xuè	blood	259
火	huǒ	fire	259
怎样	zěn yàng	how	257
无论	wú lùn	no matter	256
彼此	bǐ cǐ	each other	255
请	qǐng	please	254
日	rì	day	252
言	yán	said	251
下	xià	go down	250
同	tóng	together with	250
按着	àn zhe	according to	249
只是	zhǐ shì	only	248
这事	zhè shì	this matter	248
祷告	dǎo gào	pray	247
非利士人	fēi lì shì rén	Philistines	246
爱	ài	love	244
脱离	tuō lí	deliver from	244
守	shǒu	kept	243
约书亚	yuē shū yà	Joshua	241
坐	zuò	sit	241
城邑	chéng yì	cities	241
门	mén	door	239
万有	wàn yǒu	all things	237
女儿	nǚ ér	daughters	236
后	hòu	after	235
救	jiù	save	235
保罗	bǎo luó	Paul	234
物	wù	creature	233
取	qǔ	took	233
常	cháng	often	232
火焚祭	huǒ fén jì	burnt offering	232
应许	yīng xǔ	promised	229
刀	dāo	knife	229
其	qí	its	227
指着	zhǐ zhe	point at	227
石头	shí tou	stones	227
使者	shǐ zhě	messenger	227
发怒	fā nù	angry	224
两个	liǎng gè	two	223
灭绝	miè jué	destroy	223
敬畏	jìng wèi	fear	223
犹大人	yóu dà rén	Judahites	223
并且	bìng qiě	and	222
以为	yǐ wéi	thought	222
四围	sì wéi	surrounding	222
降	jiàng	bring down	221
赞美	zàn měi	praise	221
平安	píng ān	peace	221
偶像	ǒu xiàng	idol	221
回来	huí lái	return	219
喝	hē	drink	218
预备	yù bèi	prepared	216
如今	rú jīn	now	216
带	dài	bring	215
众民	zhòng mín	people	215
居住	jū zhù	inhabited	213
天	tiān	sky	212
口	kǒu	mouth	212
一般	yì bān	like	212
为何	wèi hé	why	210
污秽	wū huì	defile	210
拯救	zhěng jiù	save	209
羊	yáng	sheep	209
众子	zhòng zǐ	sons	209
兄弟	xiōng dì	brother	207
恐怕	kǒng pà	lest	206
无人	wú rén	no one	205
一只	yī zhī	one	205
待	dài	treat	203
不肯	bù kěn	unwilling	203
指示	zhǐ shì	show	202
那人	nà rén	that person	201
倚靠	yǐ kào	rely on	201
列国	liè guó	nations	200
儿女	ér nǚ	children	200
见证	jiàn zhèng	witness	199
放在	fàng zài	place at	198
犹太人	Yóu tài rén	Judeans	198
牧伯	mù bó	chieftains	197
传	chuán	convey	197
多	duō	much	196
身体	shēn tǐ	body	195
走	zǒu	go	194
敌人	dí rén	enemies	194
异邦人	yì bāng rén	foreigners	194
天使	tiān shǐ	angels	192
圣所	shèng suǒ	sanctuary	192
也是	yě shì	also were	191
喜乐	xǐ lè	joyful	191
死亡	sǐ wáng	die	188
喜悦	xǐ yuè	pleased with	188
站在	zhàn zài	standing at	187
牲畜	shēng chù	livestock	185
内	nèi	inside	185
为什么	wèi shén me	why	185
长老	zhǎng lǎo	elders	185
言语	yán yǔ	words	184
吧	ba	particle	184
女子	nǚ zǐ	women	184
饼	bǐng	bread	184
银子	yín zi	silver	184
复活	fù huó	revive	184
好	hǎo	good	182
哪里	nǎ lǐ	where	182
遇见	yù jiàn	meet	182
时	shí	time	182
世上	shì shàng	in the world	182
耶利米	yē lì mǐ	Jeremiah	182
人子	rén zǐ	son of man	181
造	zào	created	180
还有	hái yǒu	and also	180
出去	chū qù	went out	179
过	guò	cross	179
记念	jì niàn	remember	179
奉	fèng	offer	178
临到	lín dào	come to	178
彼得	bǐ dé	Peter	178
生命	shēng mìng	life	177
教训	jiào xùn	teach	177
来到	lái dào	came to	176
说话	shuō huà	speak	176
主人	zhǔ rén	master	176
遵行	zūn xíng	obeyed	176
会幕	huì mù	tabernacle	176
长	zhǎng	grow	175
约	yuē	about	175
定	dìng	determine	174
约但河	yuē dàn hé	Jordan River	174
洁净	jié jìng	clean	174
家里	jiā lǐ	home	172
交	jiāo	hand over	172
一人	yī rén	one person	172
竟	jìng	actually	172
世人	shì rén	people of the world	171
牛	niú	cattle	170
会众	huì zhòng	congregation	170
手里	shǒu lǐ	hands	169
后来	hòu lái	afterwards	169
手中	shǒu zhōng	hand	169
争战	zhēng zhàn	war	169
入	rù	enter	168
所得	suǒ dé	obtained	168
祈祷	qí dǎo	pray	168
永生	yǒng shēng	eternal life	167
审判	shěn pàn	judge	167
所说	suǒ shuō	said	167
先	xiān	first	167
